TIME ;SETPOINT ;ERROR ;CONTROL ;PWM ;RPM ;;TIME ;SETPOINT ;ERROR ;CONTROL ;PWM ;RPM 
0;0;0;0;50000000;0;;0;0;0;0;50;0
1000000;0;0;0;50000000;0;;1;0;0;0;50;0
2000000;0;0;0;50000000;0;;2;0;0;0;50;0
3000000;0;0;0;50000000;0;;3;0;0;0;50;0
4000000;0;0;0;50000000;0;;4;0;0;0;50;0
5000000;0;0;0;50000000;0;;5;0;0;0;50;0
6000000;0;0;0;50000000;0;;6;0;0;0;50;0
7000000;0;0;0;50000000;0;;7;0;0;0;50;0
8000000;0;0;0;50000000;0;;8;0;0;0;50;0
9000000;0;0;0;50000000;0;;9;0;0;0;50;0
10000000;100000000;0;0;50000000;0;;10;100;0;0;50;0
11000000;100000000;100000000;60000000;60000000;35294118;;11;100;100;60;60;35,294118
12000000;100000000;64705882;106823529;106823529;62837370;;12;100;64,705882;106,823529;106,823529;62,83737
13000000;100000000;37162630;134297578;134297578;78998575;;13;100;37,16263;134,297578;134,297578;78,998575
14000000;100000000;21001425;149871443;149871443;88159672;;14;100;21,001425;149,871443;149,871443;88,159672
15000000;100000000;11840328;158655754;158655754;93326914;;15;100;11,840328;158,655754;158,655754;93,326914
16000000;100000000;6673086;163606832;163606832;96239313;;16;100;6,673086;163,606832;163,606832;96,239313
17000000;100000000;3760687;166397091;166397091;97880642;;17;100;3,760687;166,397091;166,397091;97,880642
18000000;100000000;2119358;167969561;167969561;98805624;;18;100;2,119358;167,969561;167,969561;98,805624
19000000;100000000;1194376;168855735;168855735;99326903;;19;100;1,194376;168,855735;168,855735;99,326903
20000000;100000000;0,673097;169355143;169355143;99620673;;20;100;6,73E-07;169,355143;169,355143;99,620673
21000000;100000000;0,379327;169636588;169636588;99786228;;21;100;3,79E-07;169,636588;169,636588;99,786228
22000000;100000000;0,213772;169795197;169795197;99879528;;22;100;2,14E-07;169,795197;169,795197;99,879528
23000000;100000000;0,120472;169884582;169884582;99932107;;23;100;1,20E-07;169,884582;169,884582;99,932107
24000000;100000000;0,067893;169934956;169934956;99961739;;24;100;6,79E-08;169,934956;169,934956;99,961739
25000000;100000000;0,038261;169963344;169963344;99978438;;25;100;3,83E-08;169,963344;169,963344;99,978438
26000000;100000000;0,021562;169979342;169979342;99987848;;26;100;2,16E-08;169,979342;169,979342;99,987848
